id,judul,harga_display,harga_raw,harga_diskon,diskon_amount,merek,model,varian,tahun,km_label,km_raw,bahan_bakar,warna,transmisi,tipe_bodi,kapasitas_cc,tipe_penjual,bursa_mobil,seller_id,seller_name,seller_type,kecamatan,kota,provinsi,status,is_hot,favorit,has_video,has_promotion,jumlah_foto,foto_utama,created_at,url,harga_num,tahun_num,source_file,scrape_time,price,year,mileage,car_age,km_per_year,listing_quality,is_luxury,is_japanese
942585647,Grand Livina 1.5 XV Manual Istimewa,Rp 63.000.000,63000000.0,,,Nissan,Grand livina,1.5 XV Bensin-MT,2008,185.000-190.000,190,Bensin,Abu-abu,Manual,MPV,>1.000 - 1.500 cc,Individu,,25693294,D‐Store,Regular,,,Kalimantan Selatan,active,0,10,0,0,3,https://apollo.olx.co.id:443/v1/files/6974bbb5ac88b-ID/image,2026-04-30T20:18:41+07:00,https://www.olx.co.id/item/942585647,63000000.0,2008,olx_mobil_bekas_20260430_2051.csv,20260430_2051,63000000.0,2008,190,18,10.555555555555555,5.1,0,1
944943767,Toyota Voxy 2020 tdp15jt  2021 / record alphard 2019 hitam,Rp 270.000.000,270000000.0,,,Toyota,Voxy,2.0 Bensin-AT,2020,50.000-55.000,55,Bensin,Hitam,Automatic,MPV,>1.500 - 2.000 cc,Individu,,2410449,Bless Auto Bekasi,Regular,,,Jakarta D.K.I.,active,0,0,0,0,16,https://apollo.olx.co.id:443/v1/files/69f35606a5e4e-ID/image,2026-04-30T20:18:36+07:00,https://www.olx.co.id/item/944943767,270000000.0,2020,olx_mobil_bekas_20260430_2051.csv,20260430_2051,270000000.0,2020,55,6,9.166666666666666,11.2,0,1
944106955,Toyota Yaris 2014 Bensin,Rp 148.000.000,148000000.0,,,Toyota,Yaris,,2014,135.000-140.000,140,Bensin,Oranye,Automatic,Unknown,Unknown,Individu,,61485463,Henzo Auto Car,Regular,,,Jawa Timur,active,0,5,0,0,14,https://apollo.olx.co.id:443/v1/files/69f35663725b9-ID/image,2026-04-30T20:17:59+07:00,https://www.olx.co.id/item/944106955,148000000.0,2014,olx_mobil_bekas_20260430_2051.csv,20260430_2051,148000000.0,2014,140,12,11.666666666666666,11.299999999999999,0,1
944943763,Pajero Sport Dakar 4x2 AT Silver 2012,Rp 235.000.000,235000000.0,,,Mitsubishi,Pajero Sport,2.4 Dakar 4x2 Solar-AT,2012,85.000-90.000,90,Diesel,Silver,Automatic,SUV,>2.000 - 3.000 cc,Diler,,131750255,Hadi Gallery ,Regular,,,Banten,active,0,0,0,0,20,https://apollo.olx.co.id:443/v1/files/69f355ee6bef1-ID/image,2026-04-30T20:17:29+07:00,https://www.olx.co.id/item/944943763,235000000.0,2012,olx_mobil_bekas_20260430_2051.csv,20260430_2051,235000000.0,2012,90,14,6.428571428571429,14.0,0,1
944072437,HONDA HR-V 1.5 E SPECIAL EDITION 2018-2019,Rp 200.000.000,200000000.0,,,Honda,HR-V,1.5 E Special Edition Bensin-AT,2018,55.000-60.000,60,Bensin,Silver,Automatic,SUV,>1.000 - 1.500 cc,Diler,,109081474,Fajrin,Regular,,,Banten,active,0,0,0,0,15,https://apollo.olx.co.id:443/v1/files/69c629130a2d0-ID/image,2026-04-30T20:16:55+07:00,https://www.olx.co.id/item/944072437,200000000.0,2018,olx_mobil_bekas_20260430_2051.csv,20260430_2051,200000000.0,2018,60,8,7.5,10.5,0,1
944943754,Honda City Hatchback RS Non Sensing,Rp 210.000.000,210000000.0,,,Honda,City,1.5 Hatchback RS Bensin-AT,2021,35.000-40.000,40,Bensin,Hitam,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,,53136205,Elvin A,Regular,,,Jawa Barat,active,0,0,0,0,10,https://apollo.olx.co.id:443/v1/files/69f3548f91be0-ID/image,2026-04-30T20:16:41+07:00,https://www.olx.co.id/item/944943754,210000000.0,2021,olx_mobil_bekas_20260430_2051.csv,20260430_2051,210000000.0,2021,40,5,8.0,7.0,0,1
944072710,MITSUBISHI XPANDER 1.5 GLS MANUAL 2022 SIAP PAKAI & MULUS,Rp 178.000.000,178000000.0,,,Mitsubishi,Xpander,1.5 GLS Bensin-MT,2022,50.000-55.000,55,Bensin,Silver,Manual,MPV,>1.000 - 1.500 cc,Diler,,109081474,Fajrin,Regular,,,Banten,active,0,5,0,0,12,https://apollo.olx.co.id:443/v1/files/69c62ba71bb02-ID/image,2026-04-30T20:15:55+07:00,https://www.olx.co.id/item/944072710,178000000.0,2022,olx_mobil_bekas_20260430_2051.csv,20260430_2051,178000000.0,2022,55,4,13.75,9.899999999999999,0,1
944943723,[ LOW KM ] Mercedes Benz Mercy C180 C 180 W205 Avantgarde 2019/2020,Rp 355.000.000,355000000.0,,,Mercedes-Benz,C180,1.5 Avantgarde Bensin-AT,2019,45.000-50.000,50,Bensin,Hitam,Automatic,Sedan,>1.000 - 1.500 cc,Unknown,,125413525,Ria Tobing,Regular,,,Jakarta D.K.I.,active,0,0,0,0,20,https://apollo.olx.co.id:443/v1/files/69f3559d8b863-ID/image,2026-04-30T20:15:18+07:00,https://www.olx.co.id/item/944943723,355000000.0,2019,olx_mobil_bekas_20260430_2051.csv,20260430_2051,355000000.0,2019,50,7,7.142857142857143,14.0,1,0
944943721,Toyota Fortuner VRZ 4x2 at 2017 Double Disk,Rp 350.000.000,350000000.0,,,Toyota,Fortuner,2.4 4x2 VRZ Solar-AT,2017,70.000-75.000,75,Diesel,Putih,Automatic,Jeep,>2.000 - 3.000 cc,Diler,Bursa Mobil Summarecon Serpong,2318437,Auto 18,Regular,,,Jakarta D.K.I.,active,0,0,0,0,11,https://apollo.olx.co.id:443/v1/files/69f354e76b70d-ID/image,2026-04-30T20:15:13+07:00,https://www.olx.co.id/item/944943721,350000000.0,2017,olx_mobil_bekas_20260430_2051.csv,20260430_2051,350000000.0,2017,75,9,8.333333333333334,7.699999999999999,0,1
944943704,Chevrolet Captiva Turbo Diesel Facelift Tahun 2013 NIK 2012 Istimewa,Rp 94.500.000,94500000.0,,,Chevrolet,Captiva,2.0 LTZ Solar-AT,2012,110.000-115.000,115,Diesel,Putih,Automatic,SUV,>1.500 - 2.000 cc,Individu,,125088448,Bang adhe,Regular,,,Jakarta D.K.I.,active,0,0,0,0,4,https://apollo.olx.co.id:443/v1/files/69f354bd26743-ID/image,2026-04-30T20:14:38+07:00,https://www.olx.co.id/item/944943704,94500000.0,2012,olx_mobil_bekas_20260430_2051.csv,20260430_2051,94500000.0,2012,115,14,8.214285714285714,2.8,0,0
944123982,SUZUKI ERTIGA 1.5 GX AT 2017 SIAP PAKAI & MULUS,Rp 135.000.000,135000000.0,,,Suzuki,Ertiga,1.5 GX Bensin-AT,2017,105.000-110.000,110,Bensin,Putih,Automatic,MPV,>1.000 - 1.500 cc,Diler,,109081474,Fajrin,Regular,,,Jakarta D.K.I.,active,0,20,0,0,14,https://apollo.olx.co.id:443/v1/files/69c92cbe4e54b-ID/image,2026-04-30T20:14:13+07:00,https://www.olx.co.id/item/944123982,135000000.0,2017,olx_mobil_bekas_20260430_2051.csv,20260430_2051,135000000.0,2017,110,9,12.222222222222221,15.799999999999999,0,1
944943691,Innova V 2.0 Bensin AT Hitam 2018,Rp 250.000.000,250000000.0,,,Toyota,Kijang Innova,2.0 V Bensin-AT,2018,80.000-85.000,85,Bensin,Hitam,Automatic,SUV,>2.000 - 3.000 cc,Diler,,131750255,Hadi Gallery ,Regular,,,Banten,active,0,0,0,0,18,https://apollo.olx.co.id:443/v1/files/69f355166ce3f-ID/image,2026-04-30T20:14:06+07:00,https://www.olx.co.id/item/944943691,250000000.0,2018,olx_mobil_bekas_20260430_2051.csv,20260430_2051,250000000.0,2018,85,8,10.625,12.6,0,1
944124011,TOYOTA FORTUNER VRZ 2.4 DIESEL AT 2021,Rp 399.000.000,399000000.0,,,Toyota,Fortuner,2.4 4x2 VRZ Solar-AT,2021,60.000-65.000,65,Diesel,Abu-abu,Automatic,SUV,>2.000 - 3.000 cc,Diler,,109081474,Fajrin,Regular,,,Jakarta D.K.I.,active,0,5,0,0,2,https://apollo.olx.co.id:443/v1/files/69d8530f976e8-ID/image,2026-04-30T20:13:32+07:00,https://www.olx.co.id/item/944124011,399000000.0,2021,olx_mobil_bekas_20260430_2051.csv,20260430_2051,399000000.0,2021,65,5,13.0,2.9,0,1
944943524,Honda BRV BR-V Prestige 2023,Rp 233.000.000,233000000.0,,,Honda,BR-V,1.5 Prestige Bensin-AT,2023,45.000-50.000,50,Bensin,Hitam,Automatic,SUV,>1.000 - 1.500 cc,Individu,,136467662,Iwan,Regular,,,Jakarta D.K.I.,active,0,0,0,0,6,https://apollo.olx.co.id:443/v1/files/69f35376b904d-ID/image,2026-04-30T20:13:12+07:00,https://www.olx.co.id/item/944943524,233000000.0,2023,olx_mobil_bekas_20260430_2051.csv,20260430_2051,233000000.0,2023,50,3,16.666666666666668,4.199999999999999,0,1
944124035,TOYOTA KIJANG INNOVA VENTURER 2.4 DIESEL AT 2018,Rp 370.000.000,370000000.0,,,Toyota,Kijang Innova,2.4 Venturer Solar-AT,2018,70.000-75.000,75,Diesel,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Diler,,109081474,Fajrin,Regular,,,Jakarta D.K.I.,active,0,6,0,0,16,https://apollo.olx.co.id:443/v1/files/69c92dc9ec2e2-ID/image,2026-04-30T20:12:49+07:00,https://www.olx.co.id/item/944124035,370000000.0,2018,olx_mobil_bekas_20260430_2051.csv,20260430_2051,370000000.0,2018,75,8,9.375,13.0,0,1
944943649,Xpandercross 2022 premium,Rp 261.000.000,261000000.0,,,Mitsubishi,Xpander,1.5 Cross Premium Package Bensin-AT,2022,25.000-30.000,30,Bensin,Abu-abu,Automatic,MPV,>1.000 - 1.500 cc,Individu,Bursa Mobil Bekas Pucang Gading,135695116,PJM garage,Regular,,,Lampung,active,0,0,0,0,8,https://apollo.olx.co.id:443/v1/files/69f3544ff301f-ID/image,2026-04-30T20:11:18+07:00,https://www.olx.co.id/item/944943649,261000000.0,2022,olx_mobil_bekas_20260430_2051.csv,20260430_2051,261000000.0,2022,30,4,7.5,5.6,0,1
944943638,Honda CRV 2.4 AT 2012 Putih,Rp 145.000.000,145000000.0,,,Honda,CR-V,2.4 Bensin-AT,2012,125.000-130.000,130,Bensin,Putih,Automatic,SUV,>2.000 - 3.000 cc,Diler,,131750255,Hadi Gallery ,Regular,,,Banten,active,0,0,0,0,17,https://apollo.olx.co.id:443/v1/files/69f35459cbfde-ID/image,2026-04-30T20:10:41+07:00,https://www.olx.co.id/item/944943638,145000000.0,2012,olx_mobil_bekas_20260430_2051.csv,20260430_2051,145000000.0,2012,130,14,9.285714285714286,11.899999999999999,0,1
944943629,Suzuki Grand Vitara GX Hybrid 1.5 at 2023,Rp 285.000.000,285000000.0,,,Suzuki,Grand vitara,1.5 GX Hybrid-AT,2023,10.000-15.000,15,Hybrid,Silver,Automatic,SUV,>1.000 - 1.500 cc,Diler,Bursa Mobil Summarecon Serpong,2318437,Auto 18,Regular,,,Jakarta D.K.I.,active,0,0,0,0,14,https://apollo.olx.co.id:443/v1/files/69f353c235eee-ID/image,2026-04-30T20:10:21+07:00,https://www.olx.co.id/item/944943629,285000000.0,2023,olx_mobil_bekas_20260430_2051.csv,20260430_2051,285000000.0,2023,15,3,5.0,9.799999999999999,0,1
944943616,(CASH) Mercedes Benz A200 HB (Hatchback) MBUX 2019 (Upgrade A45),Rp 388.000.000,388000000.0,,,Mercedes-Benz,A200,1.6 Hatchback Bensin-AT,2019,30.000-35.000,35,Bensin,Abu-abu,Automatic,Hatchback,>1.500 - 2.000 cc,Unknown,,1065828,RD Motorcars,Regular,,,Jakarta D.K.I.,active,0,0,0,0,8,https://apollo.olx.co.id:443/v1/files/69f35450c0270-ID/image,2026-04-30T20:09:34+07:00,https://www.olx.co.id/item/944943616,388000000.0,2019,olx_mobil_bekas_20260430_2051.csv,20260430_2051,388000000.0,2019,35,7,5.0,5.6,1,0
